Date,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,BMY,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOG,HD,HON,IBM,JNJ,JPM,KO,LIN,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,PEP,PG,PM,QCOM,SPY,TMO,TSLA,UNP,V,WMT,XOM
6/11/2024,102.8098145,287.6410828,462.6900024,158.9600067,187.2299957,143.7532043,37.72060394,39.92214203,842.5804443,238.7929077,43.90480423,146.4081879,259.1436157,99.53935242,158.8694763,177.1802826,325.9653931,191.2250214,162.3448334,140.2033386,188.1291962,60.80257797,428.711853,445.2224426,247.0430145,504.8959045,125.5355682,91.28136444,427.8823242,69.61912537,64.85500336,93.37240601,157.725296,161.2455139,97.69864655,202.8814392,527.1775513,573.1105347,170.6600037,220.9520111,271.6705933,65.89779663,106.460022
6/12/2024,101.420372,279.3409424,459.8699951,160.2400055,186.8899994,147.145752,38.25447083,39.35607147,841.0923462,233.6502075,43.76092148,144.2844696,262.4765015,99.47027588,159.5530548,178.5424957,334.1407471,190.3304443,162.0380249,138.9136505,185.3899231,60.16154099,427.4222412,439.2338257,247.2373199,506.2590027,123.9740219,91.4917984,436.1694336,69.15972137,65.0059967,91.23944855,156.5404663,159.0311279,96.59764099,209.5656433,531.5072021,572.911438,177.2899933,220.0387268,267.368103,65.48303223,105.2831497
6/13/2024,100.5167313,276.0072021,458.7399902,159.8999939,183.8300018,165.1986542,38.10887146,38.49303818,839.257019,226.9419403,43.66499329,142.9933472,252.9539185,98.76963806,154.2428894,175.7385101,337.7720642,190.4491272,162.1530609,138.9518738,187.4516449,60.26678848,432.9647217,441.2168274,246.4795227,501.5429993,123.1836929,91.07093811,436.6836548,70.04025269,65.3259964,91.72642517,156.0627136,160.2153473,95.9671402,211.9202271,532.5773926,569.866272,182.4700012,215.8122559,268.2285461,65.86816406,104.4384384
6/14/2024,100.7402115,280.2990112,525.3099976,159.6300049,183.6600037,170.713501,38.08946228,38.23320389,848.8901367,229.8254089,43.81847382,142.7407532,252.7952271,98.65122986,154.4311218,177.3592529,336.7622681,190.3578186,162.2393799,139.0378265,187.5677795,60.31016922,430.1590271,440.8499756,246.3629303,502.100708,123.2884369,91.34832764,437.6626892,69.92539215,66.93800354,90.95701599,156.521347,160.5812073,96.17416382,209.5072632,532.9013672,569.677063,178.0099945,215.7928467,267.7043457,66.18418121,103.5557861
6/17/2024,100.5167313,279.1454468,518.7399902,158.3999939,184.0599976,179.9455872,38.35153961,38.01976395,861.0330811,228.3787079,43.82806778,143.320816,252.0810089,100.1807785,161.7127838,177.766922,339.3450012,193.4797821,162.5174103,139.4295197,188.7293091,60.37766647,433.7818298,444.3003235,246.2949371,504.5606079,122.1294098,92.82138824,443.3983459,69.20756531,67.58300018,92.52507782,158.7476959,161.2647705,96.03302002,216.210968,537.1427002,565.6437988,187.4400024,215.093277,268.2088013,66.57918549,102.8439713
6/18/2024,101.04142,278.9694519,522.25,154.6300049,182.8099976,177.3529663,38.81747055,37.87128448,863.8505249,229.6965942,44.0966568,143.4517822,255.4337921,100.1610489,163.4366302,175.450119,343.5880127,194.3196106,163.5241394,139.1429138,190.6845551,60.38730621,433.1812744,446.2833252,243.6523438,497.4497986,122.5987778,93.32833099,441.3908386,67.41780853,68.56700134,92.31079865,159.0725555,162.2853241,95.27077484,220.9492645,538.5074463,566.80896,184.8600006,216.2591858,270.6319885,66.75695038,103.8120422
6/20/2024,103.5482635,299.3141174,522.9500122,161.7799988,186.1000061,170.666275,38.81747055,38.08472443,855.6064453,239.5955048,44.81609726,146.5485382,246.5559235,100.4965515,163.4663391,176.7030182,343.1705322,195.4789276,166.7553253,141.1777649,192.3010254,59.95342255,435.7507019,448.6629639,246.5766907,499.6507874,124.2080002,93.20399475,440.7579956,69.35114288,67.90299988,93.08022308,159.2636414,161.4284515,95.23313904,209.6434937,537.0446167,554.8986206,181.5700073,218.77565,273.7970886,67.16182709,106.0519104
6/21/2024,102.7223663,302.0710754,533.4400024,161.2299957,189.0800018,163.1954041,38.33213043,38.91063309,841.5884399,242.8257904,45.36286163,145.2761383,252.9043274,100.9208755,162.7134247,179.2385254,345.4619446,196.3461609,165.355484,142.1044312,190.0070038,60.52229691,435.868866,450.9830627,252.0075989,492.7590637,125.2137909,91.97963715,444.7927246,69.68612671,68.61199951,94.64827728,159.8369751,161.9964905,95.2522049,206.7829895,536.324646,562.2579346,183.0099945,219.6889496,272.2146301,67.06308746,105.1218033
6/24/2024,102.3142853,300.3406372,524.1699829,160.25,185.5700073,157.1576538,38.84659195,39.18902969,841.4395752,237.7524872,45.35326767,149.046524,254.6897888,100.6347122,159.0478058,179.7655334,340.6849365,197.0764313,167.8004303,142.4578857,192.504303,61.6793251,436.2528381,453.0751343,252.9694366,496.8721619,127.359436,92.87876129,442.7061462,70.68149567,66.90200043,94.63852692,160.6013641,162.1794128,97.11109924,195.4090881,534.5811157,563.602356,182.5800018,219.9318542,273.2827454,68.04073334,108.2443314
6/25/2024,102.4988937,300.3015137,526.8800049,160.25,186.3399963,156.0304718,38.22535324,39.15190887,848.7313232,239.5558624,45.44920349,148.2512817,252.0909271,100.8518143,158.2453308,184.5284271,328.4898682,195.7619324,165.4897156,140.6141357,191.7202606,61.55397797,434.3134155,451.7762756,250.0547943,508.5144348,127.3211136,93.54833984,445.9497681,69.84883118,67.24099731,92.28158569,159.9038391,160.6389771,97.27317047,196.703125,536.6397705,554.2114868,187.3500061,217.6971741,270.5429993,66.57918549,108.5480347
